Respondent_ID,Gender,Age_Group,Experience_Years,Employment_Sector,Current_Monthly_Salary,Salary_Adequacy,Salary_Adequacy_score,Income_Expenditure,Debt_Status,Food & Groceries,Food_score_Num,Transport_Score,Transportataion_score_Num,Healthcare_score,Healthcare_score_Num,Savings_Behaviour,Coping_Strategy
139,Female,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,More than 90%,"Yes, regularly, I borrow almost every month",Severely Affected,4,Not Affected at all,0,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Cutting back on non-essential spending
140,Female,46 and above,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Slightly Affected,2,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
141,Male,46 and above,3 years and above,Private sector,"Below #50,000","It covers less than before, I manage but with difficulty",3,50% or less,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Not Affected at all,0,Severely Affected,4,I save much less than I used to,Taking on an additional job or side hustle
142,Female,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers much less than before, I struggle significantly",4,More than 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Extremely Affected,5,Moderately Affected,3,I save much less than I used to,Cutting back on non-essential spending
143,Male,26-35,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers much less than before, I struggle significantly",4,More than 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Extremely Affected,5,Slightly Affected,2,I save much less than I used to,Drawing down on existing savings or investments
144,Female,46 and above,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000",It covers about the same as before,2,51% - 70%,"Yes, regularly, I borrow almost every month",Moderately Affected,3,Extremely Affected,5,Extremely Affected,5,My savings have remained roughly the same,Borrowing money or taking loans
145,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#301,000 - #500,000","It covers more than before, my situation has improved",1,51% - 70%,"Yes, occasionally, I borrow when things get too tight",Moderately Affected,3,Extremely Affected,5,Moderately Affected,3,I save much less than I used to,Taking on an additional job or side hustle
146,Male,46 and above,3 years and above,Private sector,"Below #50,000","It covers less than before, I manage but with difficulty",3,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Not Affected at all,0,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
147,Male,46 and above,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Not Affected at all,0,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
148,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"#50,000 - #150,000","It covers less than before, I manage but with difficulty",3,71% - 90%,"Yes, regularly, I borrow almost every month",Moderately Affected,3,Extremely Affected,5,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Drawing down on existing savings or investments
149,Male,36-45,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Extremely Affected,5,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
150,Female,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,51% - 70%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Not Affected at all,0,Extremely Affected,5,My savings have remained roughly the same,Joining a cooperative savings group (Ajo/Esusu)
151,Male,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,More than 90%,"Yes, occasionally, I borrow when things get too tight",Slightly Affected,2,Not Affected at all,0,Severely Affected,4,My savings have remained roughly the same,Borrowing money or taking loans
